"","Subgroup","Year","total_person","PM25_person","O3_person"
"1","Africa",2000,420559154.257156,420558777.124847,347585782.477606
"2","Africa",2001,520109613.872384,519486975.211829,436757349.621055
"3","Africa",2002,550580848.516555,550177564.6851,459795945.955392
"4","Africa",2003,504619404.477649,504619404.477649,441375051.176449
"5","Africa",2004,493399423.07661,493399423.07661,337338096.218717
"6","Africa",2005,541170910.543659,541170908.854291,506291578.879882
"7","Africa",2006,494937381.870019,494936951.895158,406474226.005374
"8","Africa",2007,496931572.459938,496829296.920555,367071545.479217
"9","Africa",2008,487291517.872727,487291517.872727,396143681.232006
"10","Africa",2009,590777336.40762,590777336.40762,522444217.197795
"11","Africa",2010,597777180.718508,597777180.718508,510926671.106669
"12","Africa",2011,522640602.12798,522640602.12798,388408848.192777
"13","Africa",2012,511488005.169808,511488005.169808,462351572.249465
"14","Africa",2013,643183706.146392,643183706.146392,547686206.128244
"15","Africa",2014,566884878.159017,566882976.977184,460324699.80381
"16","Africa",2015,627324684.882609,627323461.841925,476836100.213549
"17","Africa",2016,581767051.917217,581767051.917217,488591524.315335
"18","Africa",2017,596623073.987468,596233336.026411,461677557.966076
"19","Africa",2018,630298748.10778,630298748.10778,491134692.386389
"20","Africa",2019,671052772.880697,671052772.880697,514543219.744778
"21","Asia",2000,894423854.263091,894382017.755585,645156465.985321
"22","Asia",2001,737786577.819676,737716266.065103,530903694.166982
"23","Asia",2002,780725722.254228,779760351.419345,405111475.579634
"24","Asia",2003,992266562.602588,992266555.010555,824186750.930128
"25","Asia",2004,991564839.106133,989558735.461416,728815062.717281
"26","Asia",2005,605085363.883374,604715339.217741,425073908.665973
"27","Asia",2006,844694418.518476,844693837.668277,672511532.606965
"28","Asia",2007,712766328.962433,712741606.766551,552610134.573493
"29","Asia",2008,929420469.999817,929322691.296848,776167435.427898
"30","Asia",2009,1216917146.40395,1216765716.15931,971749766.089054
"31","Asia",2010,629418925.684646,629233700.922074,536148667.81044
"32","Asia",2011,680851147.945358,680309501.818335,521373518.676183
"33","Asia",2012,977376626.754789,977354663.106999,734665755.249635
"34","Asia",2013,695836514.295051,695062685.804837,491164081.686328
"35","Asia",2014,983016125.605094,982481643.951163,856778257.74641
"36","Asia",2015,1040287540.10072,1040215891.04105,873152421.292193
"37","Asia",2016,731170648.819738,730348937.090902,519635031.090264
"38","Asia",2017,579803927.484883,579057744.759612,445417981.342619
"39","Asia",2018,797410489.542482,795792501.17453,523778030.277193
"40","Asia",2019,906998666.558661,898876890.474885,611838438.090121
"41","Europe",2000,96076245.7385558,95901172.2142832,63594110.2722164
"42","Europe",2001,95365911.0521485,95365789.077118,71119474.1811522
"43","Europe",2002,158675348.165519,158009611.45082,145719492.258612
"44","Europe",2003,36637630.8333901,36439500.8066938,11775289.1707481
"45","Europe",2004,77382296.1275336,77377326.4727629,69700745.1906627
"46","Europe",2005,135372956.985575,135209512.06338,93370599.0052217
"47","Europe",2006,357118838.338798,357062498.21098,354485858.314114
"48","Europe",2007,75856065.55031,75823206.2164167,68649378.8280007
"49","Europe",2008,138497919.702017,135376934.149508,117045412.210156
"50","Europe",2009,100365669.914796,99944655.2147519,95074584.9822585
"51","Europe",2010,167477853.813337,165660032.364721,163871695.141033
"52","Europe",2011,75198571.8773963,75129434.3017521,54088335.6353807
"53","Europe",2012,51545532.7957122,46991792.31459,40210997.4903957
"54","Europe",2013,85439048.5057196,84674065.4447441,49994432.560014
"55","Europe",2014,89179434.8526497,88798736.6307188,59216924.6430144
"56","Europe",2015,69006071.9385072,68709630.6307036,57955577.4428295
"57","Europe",2016,155039788.862731,153203056.015703,97465193.2390935
"58","Europe",2017,80690260.0686366,77515322.0558856,59351573.1446979
"59","Europe",2018,75614957.0712425,75187699.9196009,57963449.9331322
"60","Europe",2019,139233491.031172,136069489.368451,118619150.486153
"61","North America",2000,144827694.838209,130860468.608353,137518313.016695
"62","North America",2001,76968061.5010673,62330756.8641089,69990492.7784668
"63","North America",2002,307771016.557219,262043375.760069,293527395.513361
"64","North America",2003,232403441.000278,213691629.52756,200695498.386625
"65","North America",2004,82318891.657446,56197144.0723478,69721121.9812286
"66","North America",2005,177474158.330367,148020256.112262,165818081.030131
"67","North America",2006,207803199.33458,174567800.713799,188655392.300565
"68","North America",2007,250106286.226364,216238285.718081,216193975.074557
"69","North America",2008,228986274.366768,187854508.828359,212593951.03028
"70","North America",2009,211227980.328618,161015023.271552,201988405.745985
"71","North America",2010,323199682.129325,220526706.413873,303183755.207033
"72","North America",2011,357783247.043447,271687509.966736,332110051.479116
"73","North America",2012,228236337.561366,156264545.158339,216266294.967535
"74","North America",2013,353132542.203556,231700394.89296,332350302.603176
"75","North America",2014,201777606.64802,124732842.47573,177281433.993025
"76","North America",2015,361704462.529791,267271294.901918,328520507.815972
"77","North America",2016,271331870.554422,200473996.277442,251411416.209866
